[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.junit.runners.ParentRunner.run(ParentRunner.java:363)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.JUnitTestClassExecutor.runTestClass(JUnitTestClassExecutor.java:106)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.JUnitTestClassExecutor.execute(JUnitTestClassExecutor.java:58)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.JUnitTestClassExecutor.execute(JUnitTestClassExecutor.java:38)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.junit.AbstractJUnitTestClassProcessor.processTestClass(AbstractJUnitTestClassProcessor.java:66)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.SuiteTestClassProcessor.processTestClass(SuiteTestClassProcessor.java:51)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     java.lang.reflect.Method.invoke(Method.java:498)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ReflectionDispatch.dispatch(ReflectionDispatch.java:35)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ReflectionDispatch.dispatch(ReflectionDispatch.java:24)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ContextClassLoaderDispatch.dispatch(ContextClassLoaderDispatch.java:32)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.internal.dispatch.ProxyDispatchAdapter$DispatchingInvocationHandler.invoke(ProxyDispatchAdapter.java:93)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     com.sun.proxy.$Proxy2.processTestClass(Unknown Source)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     org.gradle.api.internal.tasks.testing.worker.TestWorker.processTestClass(TestWorker.java:117)
[02/03/21 18:13:14:971 GMT]  WARN db.LocalTransaction:     sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
