[09/03/21 19:24:45:212 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: RelationshipBundler
[09/03/21 19:24:45:212 GMT]  INFO util.PushPublishLogger: class com.dotcms.enterprise.publishing.remote.bundler.RelationshipBundler : Relationship INODE: 8d163ba1-0553-4d07-bb8b-941f5f30de36
[09/03/21 19:24:45:214 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: RelationshipBundler
[09/03/21 19:24:45:214 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: LanguageVariablesBundler
[09/03/21 19:24:45:217 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: LanguageVariablesBundler
[09/03/21 19:24:45:217 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: WorkflowBundler
[09/03/21 19:24:45:309 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: WorkflowBundler
[09/03/21 19:24:45:311 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: LanguageBundler
[09/03/21 19:24:45:311 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: LanguageBundler
[09/03/21 19:24:45:312 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: BundleXMLAsc
[09/03/21 19:24:45:312 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: BundleXMLAsc
[09/03/21 19:24:45:312 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: CategoryBundler
[09/03/21 19:24:45:316 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: CategoryBundler
[09/03/21 19:24:45:316 GMT]  INFO publishing.GenerateBundlePublisher: Bundling Complete: /custom/assets/bundles/01F0C75R439MDKXRQD53S9ZHMT
[09/03/21 19:24:45:316 GMT]  INFO util.PushPublishLogger: class com.dotcms.publishing.PublisherAPIImpl : [BundleID: 01F0C75R439MDKXRQD53S9ZHMT] Completed Publishing Task
[09/03/21 19:24:45:349 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[09/03/21 19:24:45:349 GMT]  INFO junit.RuleWatcher: >>> publish[1: com.dotcms.publishing.PublisherAPIImplTest$TestCase@767bbaac](com.dotcms.publishing.PublisherAPIImplTest) - starting...
[09/03/21 19:24:45:350 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
