[11/03/21 18:38:54:917 GMT]  INFO bundler.HostBundler: Searching for ContentletVersionInfo. Identifier: 8a7d5e23-da1e-420a-b4f0-471e7da8ea2d. Language:1
[11/03/21 18:38:54:919 GMT]  INFO bundler.HostBundler: Searching for ContentletVersionInfo. Identifier: cfbcdb73-a907-4584-8206-e72d9ae60b76. Language:1
[11/03/21 18:38:54:921 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: HostBundler
[11/03/21 18:38:54:921 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: ContentBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: ContentBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: FolderBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: FolderBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: TemplateBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: TemplateBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: ContainerBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: ContainerBundler
[11/03/21 18:38:54:931 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: RuleBundler
[11/03/21 18:38:54:932 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: RuleBundler
[11/03/21 18:38:54:932 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: LinkBundler
[11/03/21 18:38:54:932 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: LinkBundler
[11/03/21 18:38:54:932 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: ContentTypeBundler
[11/03/21 18:38:54:943 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: ContentTypeBundler
[11/03/21 18:38:54:943 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: RelationshipBundler
[11/03/21 18:38:54:943 GMT]  INFO util.PushPublishLogger: class com.dotcms.enterprise.publishing.remote.bundler.RelationshipBundler : Relationship INODE: 1cc6c5ad-0d0b-4b24-ab55-89dfea588399
[11/03/21 18:38:54:944 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: RelationshipBundler
[11/03/21 18:38:54:944 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: LanguageVariablesBundler
[11/03/21 18:38:54:946 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: LanguageVariablesBundler
[11/03/21 18:38:54:946 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: WorkflowBundler
[11/03/21 18:38:54:969 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: WorkflowBundler
[11/03/21 18:38:54:969 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: LanguageBundler
[11/03/21 18:38:54:970 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: LanguageBundler
[11/03/21 18:38:54:970 GMT]  INFO publishing.PublisherAPIImpl: Start of Bundler: BundleXMLAsc
[11/03/21 18:38:54:971 GMT]  INFO publishing.PublisherAPIImpl: End of Bundler: BundleXMLAsc
